"admin3","admin3_name","hdx_pcode"
"47258","EL PIÑON","COL-47258"
"47268","EL RETEN","COL-47268"
"47288","FUNDACION","COL-47288"
"47318","GUAMAL","COL-47318"
"47460","NUEVA GRANADA","COL-47460"
"47541","PEDRAZA","COL-47541"
"47545","PIJIÑO DEL CARMEN","COL-47545"
"47551","PIVIJAY","COL-47551"
"47555","PLATO","COL-47555"
"47570","PUEBLOVIEJO","COL-47570"
"47605","REMOLINO","COL-47605"
"47660","SABANAS DE SAN ANGEL","COL-47660"
"47675","SALAMINA","COL-47675"
"47692","SAN SEBASTIAN DE BUENAVISTA","COL-47692"
"47703","SAN ZENON","COL-47703"
"47707","SANTA ANA","COL-47707"
"47720","SANTA BARBARA DE PINTO","COL-47720"
"47745","SITIONUEVO","COL-47745"
"47798","TENERIFE","COL-47798"
"47960","ZAPAYAN","COL-47960"
"47980","ZONA BANANERA","COL-47980"
"50001","VILLAVICENCIO","COL-50001"
"50006","ACACIAS","COL-50006"
"50110","BARRANCA DE UPIA","COL-50110"
"50124","CABUYARO","COL-50124"
"50150","CASTILLA LA NUEVA","COL-50150"
"50223","CUBARRAL","COL-50223"
"50226","CUMARAL","COL-50226"
"50245","EL CALVARIO","COL-50245"
"50251","EL CASTILLO","COL-50251"
"50270","EL DORADO","COL-50270"
"50287","FUENTE DE ORO","COL-50287"
"50313","GRANADA","COL-50313"
"50318","GUAMAL","COL-50318"
"50325","MAPIRIPAN","COL-50325"
"50330","MESETAS","COL-50330"
"50350","LA MACARENA","COL-50350"
"50370","LA URIBE","COL-50370"
"50400","LEJANIAS","COL-50400"
"50450","PUERTO CONCORDIA","COL-50450"
"50568","PUERTO GAITAN","COL-50568"
"50573","PUERTO LOPEZ","COL-50573"
"50577","PUERTO LLERAS","COL-50577"
"50590","PUERTO RICO","COL-50590"
"50606","RESTREPO","COL-50606"
"50680","SAN CARLOS GUAROA","COL-50680"
"50683","SAN JUAN DE ARAMA","COL-50683"
"50686","SAN JUANITO","COL-50686"
"50689","SAN MARTIN","COL-50689"
"50711","VISTA HERMOSA","COL-50711"
"52001","PASTO","COL-52001"
"52019","ALBAN","COL-52019"
"52022","ALDANA","COL-52022"
"52036","ANCUYA","COL-52036"
"52051","ARBOLEDA","COL-52051"
"52079","BARBACOAS","COL-52079"
"52083","BELEN","COL-52083"
"52110","BUESACO","COL-52110"
"52203","COLON","COL-52203"
"52207","CONSACA","COL-52207"
"52210","CONTADERO","COL-52210"
"52215","CORDOBA","COL-52215"
"52224","CUASPUD","COL-52224"
"52227","CUMBAL","COL-52227"
