"divipola.Código.Centro.Poblado","divipola.Nombre.Centro.Poblado","hdx_pcode"
"05607011","LA LORENA","COL-"
"05607012","MARTON PESCADOR","COL-"
"05615000","RIONEGRO","COL-"
"05615010","AEROPUERTO","COL-"
"05615017","LA PLAYA","COL-"
"05615018","LOS PEÑOLES","COL-"
"05628000","SABANALARGA","COL-"
"05628001","EL JUNCO","COL-"
"05628002","EL ORO","COL-"
"05628004","EL SOCORRO","COL-"
"05628007","MEMBRILLAL","COL-"
"05628008","PENDIENTE","COL-"
"05628009","REMARTON","COL-"
"05631000","SABANETA","COL-"
"05631001","MARÍA AUXILIADORA","COL-"
"05631002","CAÑAVERALEJO","COL-"
"05631006","SAN ISIDRO","COL-"
"05631007","LA INMACULADA","COL-"
"05631008","PAN DE AZÚCAR","COL-"
"05631009","LA DOCTORA","COL-"
"05631010","LAS LOMITAS","COL-"
"05631011","LAS BRISAS","COL-"
"05631012","LOMA DEL TABURETE PARTE BAJA","COL-"
"05631013","LOS HENAO","COL-"
"05631014","PLAYAS PLACER","COL-"
"05642000","SALGAR","COL-"
"05642001","EL CONCILIO","COL-"
"05642002","LA CÁMARA","COL-"
"05642003","LA MARGARITA","COL-"
"05642004","LA SIBERIA","COL-"
"05642005","LA TABORDA","COL-"
"05642007","EL JUNCO","COL-"
"05642010","PEÑALISA","COL-"
"05642011","LA GULUNGA","COL-"
"05647000","SAN ANDRÉS DE CUERQUÍA","COL-"
"05649000","SAN CARLOS","COL-"
"05649001","EL JORDÁN","COL-"
"05649002","SAMANÁ","COL-"
"05649005","PUERTO GARZA","COL-"
"05649012","DOS QUEBRADAS","COL-"
"05649013","LA HONDITA","COL-"
"05649014","VALLEJUELO","COL-"
"05649015","EL PORVENIR","COL-"
"05652000","SAN FRANCISCO","COL-"
"05652001","AQUITANIA","COL-"
"05656000","SAN JERÓNIMO","COL-"
"05656001","LOS CEDROS","COL-"
"05656002","LLANOS DE SAN JUAN","COL-"
"05656004","LLANOS DE AGUIRRE","COL-"
"05656006","MESTIZAL","COL-"
"05656007","POLEAL","COL-"
"05656009","BUENOS AIRES PARTE ALTA","COL-"
"05656010","EL CALVARIO","COL-"
"05656011","EL POMAR","COL-"
"05656012","LA CIENAGA","COL-"
"05656013","LA PALMA","COL-"
"05656014","QUIMBAYO","COL-"
"05656015","VELIGUARON","COL-"
"05658000","SAN JOSÉ DE LA MONTAÑA","COL-"
"05659000","SAN JUAN DE URABÁ","COL-"
"05659001","DAMAQUIEL","COL-"
