"Código.Departamento","Código.Municipio","Código.Centro.Poblado","Nombre.Departamento","Nombre.Municipio","Nombre.Centro.Poblado","Tipo.Centro.Poblado","Tipo.de.Municipio","X.","Distrito","Area.Metropolitana"
"05","05059","05059003","ANTIOQUIA","ARMENIA","EL SOCORRO","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05059","05059004","ANTIOQUIA","ARMENIA","MOJONES","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05059","05059005","ANTIOQUIA","ARMENIA","CARTAGUEÑO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05059","05059006","ANTIOQUIA","ARMENIA","FILO SECO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05059","05059007","ANTIOQUIA","ARMENIA","LA PESCADORA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05059","05059008","ANTIOQUIA","ARMENIA","LA QUIEBRA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05059","05059009","ANTIOQUIA","ARMENIA","PALMICHAL","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05059","05059010","ANTIOQUIA","ARMENIA","PALO BLANCO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05079","05079000","ANTIOQUIA","BARBOSA","BARBOSA","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079001","ANTIOQUIA","BARBOSA","HATILLO","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079006","ANTIOQUIA","BARBOSA","EL TABLAZO","CASERÍO (CAS)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079007","ANTIOQUIA","BARBOSA","EL VERDE","CASERÍO (CAS)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079010","ANTIOQUIA","BARBOSA","EL GUAYABO","CASERÍO (CAS)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079011","ANTIOQUIA","BARBOSA","LAS VICTORIAS","CASERÍO (CAS)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079013","ANTIOQUIA","BARBOSA","AGUAS CLARAS","CASERÍO (CAS)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079014","ANTIOQUIA","BARBOSA","POPALITO","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079015","ANTIOQUIA","BARBOSA","FILOVERDE","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079016","ANTIOQUIA","BARBOSA","YARUMITO","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05079","05079017","ANTIOQUIA","BARBOSA","TABLAZO HATILLO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05086","05086000","ANTIOQUIA","BELMIRA","BELMIRA","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05086","05086001","ANTIOQUIA","BELMIRA","LABORES","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05086","05086002","ANTIOQUIA","BELMIRA","QUEBRADITAS","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05086","05086004","ANTIOQUIA","BELMIRA","PLAYAS","INSPECCIÓN DE POLICÍA (IP)","MUNICIPIO","",NA,NA
"05","05088","05088000","ANTIOQUIA","BELLO","BELLO","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05088","05088013","ANTIOQUIA","BELLO","SAN FÉLIX","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05088","05088018","ANTIOQUIA","BELLO","EL PINAR","CENTRO POBLADO (CP)","MUNICIPIO","",NA,"AREA METROPOLITANA DEL VALLE DE ABURRÁ"
